Field_ID,Field_Name,Field_Types,Field_Prices,Field_Prices_Type,TotalFields,Link,Total_Review,Field_Rating
15,Gedung Bulutangkis Gelora Sunter,Badminton,40000,Cheap,4,"https://www.google.com/maps/place/Gedung+Bulutangkis+Gelora+Sunter/@-6.1476801,106.7090453,10z/data=!4m9!1m2!2m1!1slapangan+badminton!3m5!1s0x2e69f57b3b610d87:0x26b2a800d8c8d11a!8m2!3d-6.1476801!4d106.8756243!15sChJsYXBhbmdhbiBiYWRtaW50b26SAQ9iYWRtaW50b25fY291cnQ",166,4.6
12,Futsal Court Cilandak Sport Centre,Futsal,350000,Expensive,4,"https://www.google.com/maps/place/Futsal+Court+Cilandak+Sport+Centre/@-6.2900382,106.6600109,11z/data=!4m9!1m2!2m1!1slapangan+futsal!3m5!1s0x2e69f1e5fe032c2d:0x6c523724533e33e0!8m2!3d-6.2900382!4d106.8000866!15sCg9sYXBhbmdhbiBmdXRzYWySAQxmdXRzYWxfZmllbGQ",921,4.5
20,Tunas Bugar Badminton Hall,Badminton,70000,Cheap,6,"https://www.google.com/maps/place/Tunas+Bugar+Badminton+Hall/@-6.2037305,106.6161117,11z/data=!4m9!1m2!2m1!1slapangan+badminton!3m5!1s0x2e69f73c8ecd2ded:0x58f12e6b62c73097!8m2!3d-6.203727!4d106.7562783!15sChJsYXBhbmdhbiBiYWRtaW50b26SAQ9iYWRtaW50b25fY291cnQ",430,4.3
16,Diaz Badminton Hall,Badminton,90000,Expensive,5,"https://www.google.com/maps/place/Diaz+Badminton+Hall/@-6.1900129,106.6626182,11z/data=!4m9!1m2!2m1!1slapangan+badminton!3m5!1s0x2e69f6910123ea9d:0x258d5c895a5c266d!8m2!3d-6.1900129!4d106.8026939!15sChJsYXBhbmdhbiBiYWRtaW50b26SAQ9iYWRtaW50b25fY291cnQ",303,4.3
9,Go All Futsal,Futsal,220000,Cheap,2,"https://www.google.com/maps/place/Go+All+Futsal/@-6.2055164,106.7740563,15z/data=!4m9!1m2!2m1!1slapangan+futsal!3m5!1s0x2e69f6cfe9833437:0xd2461c5377b23b1c!8m2!3d-6.2093719!4d106.7834793!15sCg9sYXBhbmdhbiBmdXRzYWySAQxmdXRzYWxfZmllbGQ",419,4.3
11,Futsal Sani,Futsal,200000,Cheap,2,"https://www.google.com/maps/place/Futsal+Sani/@-6.2750684,106.7822379,11z/data=!4m9!1m2!2m1!1slapangan+futsal!3m5!1s0x2e69f5acb9a2abb5:0xc5ebe91acbe87e5c!8m2!3d-6.174536!4d106.8582228!15sCg9sYXBhbmdhbiBmdXRzYWySAQxmdXRzYWxfZmllbGQ",237,4.1
2,Centro Futsal,Futsal,120000,Cheap,4,"https://www.google.com/maps/place/Centro+Futsal/@-6.1561956,106.67955,11.75z/data=!4m9!1m2!2m1!1slapangan+futsal!3m5!1s0x2e69f80f0eab2d87:0xa3f62e8a2560a52e!8m2!3d-6.1481695!4d106.717154!15sCg9sYXBhbmdhbiBmdXRzYWySAQxmdXRzYWxfZmllbGQ",689,4.4
8,Lapangan Badminton Tomang,Badminton,75000,Cheap,3,"https://www.google.com/maps/place/Lapangan+Badminton+Tomang/@-6.1772239,106.7905865,15z/data=!4m7!3m6!1s0x2e69f7b20dff6853:0x68316f6bdb54abf5!8m2!3d-6.1772295!4d106.7993451!9m1!1b1",72,4.6
18,GOR Badminton Mega Kuningan,Badminton,175000,Expensive,4,"https://www.google.com/maps/place/GOR+Badminton+Mega+Kuningan/@-6.2219791,106.660493,10z/data=!4m9!1m2!2m1!1slapangan+badminton!3m5!1s0x2e69f3f98411b303:0x907a3bf64017965f!8m2!3d-6.2219683!4d106.8270653!15sChJsYXBhbmdhbiBiYWRtaW50b26SARFiYWRtaW50b25fY29tcGxleA",407,4.5
1,Champion Futsal,Futsal,230000,Cheap,3,"https://www.google.com/maps/place/Champion+Futsal/@-6.2055165,106.7477922,13z/data=!4m13!1m7!3m6!1s0x2e69f6c4d65467f3:0xf1f660ed48a67527!2sChampion+Futsal!8m2!3d-6.2055155!4d106.7828663!10e4!3m4!1s0x2e69f6c4d65467f3:0xf1f660ed48a67527!8m2!3d-6.2055155!4d106.7828663",896,4.5
