Field_ID,User_ID,User_Rating,Field_Name,Field_Rating,Field_Types
13,5564,4,Pelangi Futsal,4.5,Futsal
1,159,5,Champion Futsal,4.3,Futsal
14,5763,5,Kuningan Village Futsal Field 1,4.3,Futsal
9,3116,5,Go All Futsal,4.5,Futsal
18,7554,5,GOR Badminton Mega Kuningan,4.3,Badminton
9,3303,4,Go All Futsal,4.5,Futsal
12,4595,5,Futsal Court Cilandak Sport Centre,4.2,Futsal
5,2451,3,GOR Kurnia Badminton Court,4.5,Badminton
6,2635,5,Lapangan Bulu Tangkis Patra,4.3,Badminton
9,3333,4,Go All Futsal,4.3,Futsal
16,7078,5,Diaz Badminton Hall,4.3,Badminton
20,8867,3,Tunas Bugar Badminton Hall,4.2,Badminton
19,8105,5,Cililitan Badminton Hall,4.3,Badminton
3,1606,5,Planet Futsal,4.2,Futsal
10,3542,5,AS FUTSAL,4.5,Futsal
12,4887,5,Futsal Court Cilandak Sport Centre,4.3,Futsal
20,8628,5,Tunas Bugar Badminton Hall,4.2,Badminton
19,7920,5,Cililitan Badminton Hall,4.2,Badminton
19,8236,4,Cililitan Badminton Hall,4.5,Badminton
18,7638,5,GOR Badminton Mega Kuningan,4.5,Badminton
12,4936,5,Futsal Court Cilandak Sport Centre,4.4,Futsal
2,1058,5,Centro Futsal,4.5,Futsal
12,5086,4,Futsal Court Cilandak Sport Centre,4.6,Futsal
15,6815,5,Gedung Bulutangkis Gelora Sunter,4.2,Badminton
4,2152,3,Royal Futsal,4.3,Futsal
14,6460,4,Kuningan Village Futsal Field 1,4.3,Futsal
3,1670,5,Planet Futsal,4.3,Futsal
14,6332,4,Kuningan Village Futsal Field 1,4.2,Futsal
4,2099,4,Royal Futsal,4.5,Futsal
1,60,5,Champion Futsal,4.6,Futsal
7,2851,5,Supreme Arena Badminton,4.2,Badminton
19,8319,4,Cililitan Badminton Hall,4.3,Badminton
14,6506,4,Kuningan Village Futsal Field 1,4.1,Futsal
11,4394,3,Futsal Sani,4.5,Futsal
18,7680,5,GOR Badminton Mega Kuningan,4.4,Badminton
17,7248,5,Lapangan Bulutangkis Talenta,4.1,Badminton
11,4427,2,Futsal Sani,4.6,Futsal
15,6792,5,Gedung Bulutangkis Gelora Sunter,4.2,Badminton
5,2249,5,GOR Kurnia Badminton Court,4.5,Badminton
1,625,4,Champion Futsal,4.4,Futsal
17,7383,4,Lapangan Bulutangkis Talenta,4.5,Badminton
12,5341,2,Futsal Court Cilandak Sport Centre,4.2,Futsal
5,2353,4,GOR Kurnia Badminton Court,4.5,Badminton
12,4685,5,Futsal Court Cilandak Sport Centre,4.2,Futsal
19,8092,5,Cililitan Badminton Hall,4.3,Badminton
3,1730,5,Planet Futsal,4.2,Futsal
19,7941,5,Cililitan Badminton Hall,4.5,Badminton
12,4449,5,Futsal Court Cilandak Sport Centre,4.1,Futsal
11,4421,3,Futsal Sani,4.5,Futsal
1,292,5,Champion Futsal,4.5,Futsal
1,822,3,Champion Futsal,4.3,Futsal
14,6517,4,Kuningan Village Futsal Field 1,4.3,Futsal
9,3423,3,Go All Futsal,4.4,Futsal
2,974,5,Centro Futsal,4.3,Futsal
13,5474,5,Pelangi Futsal,4.3,Futsal
14,6646,3,Kuningan Village Futsal Field 1,4.2,Futsal
19,8183,5,Cililitan Badminton Hall,4.5,Badminton
12,5291,3,Futsal Court Cilandak Sport Centre,4.4,Futsal
2,1184,5,Centro Futsal,4.4,Futsal
2,1222,5,Centro Futsal,4.3,Futsal
14,6483,4,Kuningan Village Futsal Field 1,4.4,Futsal
2,1343,4,Centro Futsal,4.3,Futsal
14,5870,5,Kuningan Village Futsal Field 1,4.5,Futsal
1,121,5,Champion Futsal,4.3,Futsal
3,1803,4,Planet Futsal,4.2,Futsal
19,7950,5,Cililitan Badminton Hall,4.5,Badminton
1,201,5,Champion Futsal,4.3,Futsal
20,8664,5,Tunas Bugar Badminton Hall,4.3,Badminton
13,5500,5,Pelangi Futsal,4.2,Futsal
10,3618,5,AS FUTSAL,4.2,Futsal
5,2476,3,GOR Kurnia Badminton Court,4.5,Badminton
1,21,5,Champion Futsal,4.3,Futsal
16,7198,3,Diaz Badminton Hall,4.3,Badminton
14,6017,5,Kuningan Village Futsal Field 1,4.2,Futsal
19,8202,4,Cililitan Badminton Hall,4.5,Badminton
12,4554,5,Futsal Court Cilandak Sport Centre,4.3,Futsal
